"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"1","codmine00052","Niania riche",2022-06-20,"Ituri",45,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Quotidien",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PDEC"
"2","codmine00057","Cinquantenaire (SOMIBAF)",2021-07-13,"Ituri",60,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Jaune","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"3","codmine00058","Mont Ngaliema",2021-07-12,"Ituri",10,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"4","codmine00064","Mabukulu",2021-07-09,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"5","codmine00065","Togo",2021-07-08,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Quotidien",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","Vert","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"6","codmine00068","Kanzambu",2021-07-04,"Ituri",60,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,"SAEMAPE","Division des mines","DGRPI (Direction Générale des recettes provinciales d'ituri)",NA,"No traceability program","None","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"7","codmine00069","Pede",2021-07-03,"Ituri",85,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"8","codmine00070","Mandelendele",2021-09-28,"Ituri",4,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"9","codmine00071","Mapeda",2021-09-25,"Ituri",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours","Groupe de bandits armés non identifiés","Aléatoire",NA,NA,NA,NA,NA,NA,"No traceability program","Vert","Observed","Creuser, Lavage, Transport des minerais, Traiter les déchets","IPIS - Madini"
"10","codmine00073","Mandulu",2021-09-29,"Ituri",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri (DGRPI)",NA,"No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
"11","codmine00074","Masikini",2021-07-18,"Ituri",70,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","Direction Générale des recettes provinciales d'ituri DGRPI)(",NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
