"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"1","codmine00037","Santa-Maria",2022-07-05,"Ituri",280,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","None observed",NA,"IPIS - PDEC"
"2","codmine00038","Libreville",2022-06-29,"Ituri",1500,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","Chefferie","No traceability program","None","None observed",NA,"IPIS - PDEC"
"3","codmine00039","Adombi",2022-06-28,"Ituri",120,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGI","Chefferie","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"4","codmine00040","Canon",2022-06-28,"Ituri",10,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","Observed","Plongeur, Traiter les déchets","IPIS - PDEC"
"5","codmine00041","Mopa",2022-06-29,"Ituri",284,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,"ANR","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"6","codmine00043","Mabele-Mokonzi",2022-06-26,"Ituri",820,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","DGM","No traceability program","None","Observed","Creuser, Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"7","codmine00044","Mbuji-Maï",2022-06-27,"Ituri",1200,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","DGM","No traceability program","None","Observed","Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure","IPIS - PDEC"
"8","codmine00045","Monde Arabe",2022-06-27,"Ituri",40,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","ANR","Chefferie","No traceability program","None","Observed","Traiter les déchets","IPIS - PDEC"
"9","codmine00046","Vatican",2022-06-27,"Ituri",300,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"FFN","SAEMAPE","Division des mines","ANR","No traceability program","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - PDEC"
"10","codmine00048","Manzidaka",2022-07-12,"Ituri",27,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PDEC"
"11","codmine00050","La Grâce",2022-07-06,"Ituri",185,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","DGI","Environnement, Énergie, DGRPI, Économie, FARDC","No traceability program","None","None observed",NA,"IPIS - PDEC"
"12","codmine00051","Indi",2022-07-06,"Ituri",100,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGI","No traceability program","None","Observed","Concassage, Lavage, Traiter les déchets","IPIS - PDEC"
"13","codmine00052","Niania riche",2022-06-20,"Ituri",45,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"Observed","Observed","FARDC","Quotidien","Police Nationale Congolaise (sauf PMH)","Quotidien",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - PDEC"
