Unnamed: 0,name,visit_date,province,workers_numb,mineral1,mineral2,mineral3,mercury,interference,armed_group1,armed_group2,armed_group3,state_service1,state_service2,state_service3,state_service4,childunder15work
1,Santa-Maria,2022-07-05,Ituri,280,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,DGI,
2,Libreville,2022-06-29,Ituri,1500,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,ANR,Chefferie,
3,Adombi,2022-06-28,Ituri,120,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,DGI,Chefferie,"Concassage, Lavage, Traiter les déchets"
4,Canon,2022-06-28,Ituri,10,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,DGI,"Plongeur, Traiter les déchets"
5,Mopa,2022-06-29,Ituri,284,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,ANR,"Concassage, Lavage, Traiter les déchets"
6,Mabele-Mokonzi,2022-06-26,Ituri,820,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,ANR,DGM,"Creuser, Concassage, Lavage, Traiter les déchets"
7,Mbuji-Maï,2022-06-27,Ituri,1200,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,ANR,DGM,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
8,Monde Arabe,2022-06-27,Ituri,40,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,ANR,Chefferie,Traiter les déchets
9,Vatican,2022-06-27,Ituri,300,Or,,,Observed,None observed,,,,FFN,SAEMAPE,Division des mines,ANR,"Creuser, Lavage, Traiter les déchets"
10,Manzidaka,2022-07-12,Ituri,27,Or,,,Observed,None observed,,,,,,,,
11,La Grâce,2022-07-06,Ituri,185,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,DGI,"Environnement, Énergie, DGRPI, Économie, FARDC",
12,Indi,2022-07-06,Ituri,100,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Chefferie,DGI,"Concassage, Lavage, Traiter les déchets"
13,Niania riche,2022-06-20,Ituri,45,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,,,,,
14,Cinquantenaire (SOMIBAF),2021-07-13,Ituri,60,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets"
15,Mont Ngaliema,2021-07-12,Ituri,10,Or,,,None observed,Observed,FARDC,,,,,,,
16,Mabukulu,2021-07-09,Ituri,20,Or,,,None observed,Observed,FARDC,,,,,,,"Creuser, Lavage, Traiter les déchets"
17,Togo,2021-07-08,Ituri,60,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets"
18,Kanzambu,2021-07-04,Ituri,60,Or,,,None observed,Observed,FARDC,Groupe de bandits armés non identifiés,,SAEMAPE,Division des mines,DGRPI (Direction Générale des recettes provinciales d'ituri),,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
19,Pede,2021-07-03,Ituri,85,Or,,,Observed,Observed,FARDC,Groupe de bandits armés non identifiés,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,
20,Mandelendele,2021-09-28,Ituri,4,Or,,,None observed,Observed,FARDC,,,,,,,
21,Mapeda,2021-09-25,Ituri,20,Or,,,None observed,Observed,FARDC,Groupe de bandits armés non identifiés,,,,,,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
22,Mandulu,2021-09-29,Ituri,30,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Creuser, Lavage, Traiter les déchets"
23,Masikini,2021-07-18,Ituri,70,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri DGRPI)(,,
24,Mane de guerre,2021-07-18,Ituri,33,Or,,,None observed,None observed,FARDC,,,,,,,
25,Maroc,2021-09-20,Ituri,14,Or,,,None observed,Observed,FARDC,,,,,,,
26,Disco,2021-09-23,Ituri,25,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Traiter les déchets"
27,Camp Mambasa,2021-07-21,Ituri,12,Or,,,None observed,None observed,FARDC,,,SAEMAPE,Division des mines,,,
28,Tindika,2021-07-02,Ituri,120,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Creuser, Lavage, Transport des minerais, Traiter les déchets"
29,Makele,2021-06-19,Ituri,200,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciale d'ituri (DGRPI),,"Lavage, Transport des minerais, Traiter les déchets"
30,Jerusalem,2021-06-16,Ituri,150,Or,,,Observed,None observed,FARDC,,,SAEMAPE,Division des mines,,,"Concassage, Transport des minerais, Traiter les déchets"
31,Kotakoli,2021-06-18,Ituri,160,Or,,,Observed,None observed,FARDC,,,SAEMAPE,Division des mines,,,"Concassage, Lavage, Transport des minerais, Traiter les déchets"
32,Masenze,2021-06-28,Ituri,21,Or,,,Observed,Observed,Police Nationale Congolaise (sauf PMH),,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
33,Mandimo 1,2021-06-27,Ituri,15,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri (DGRPI),,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
34,Mataha,2021-06-26,Ituri,28,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,Lavage
35,Camp Base,2021-06-25,Ituri,20,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,
36,Mandje,2021-06-28,Ituri,25,Or,,,Observed,Observed,FARDC,,,SAEMAPE,Division des mines,Direction Générale des recettes provinciales d'ituri,,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
37,Mines,2021-08-15,Ituri,850,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,FFN,Afridex,"Creuser, Lavage, Transport des minerais, Usage du mercure, Dégrossir les minerais"
38,Tsatsaku,2021-08-14,Ituri,630,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,Afridex,FFN,"Transport des minerais, Dégrossir le minerai avant le broyage"
39,Sandra Centre,2021-08-20,Ituri,67,Or,,,None observed,None observed,,,,Division des mines,FFN,Chefferie,Police des mines,"Creuser, Lavage, Transport des minerais"
40,Baluma moteur,2021-08-17,Ituri,180,Or,,,None observed,None observed,,,,Division des mines,Afridex,Chefferie,,"Lavage, Transport des minerais, Ramasser les minerais dans la terre à la surface"
41,Dilolo,2022-08-19,Ituri,120,Or,,,Observed,None observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,,,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure, Ramasser les pierres à la surface"
42,Vis à vis,2022-09-11,Ituri,230,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,"Lavage, Usage du mercure, Ramasser les pierres en surface pour ramener au broyage"
43,Lele modi,2022-08-20,Ituri,320,Or,,,Observed,None observed,Police Nationale Congolaise (sauf PMH),,,SAEMAPE,Division des mines,,,"Creuser, Lavage, Transport des minerais, Usage du mercure"
44,Kolwezi,2022-08-23,Ituri,2600,Or,,,Observed,Observed,FARDC,Police Nationale Congolaise (sauf PMH),,SAEMAPE,Division des mines,Chefferie,Afridex,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
45,Boma,2022-08-21,Ituri,1500,Or,,,Observed,None observed,Police Nationale Congolaise (sauf PMH),,,SAEMAPE,Division des mines,,,"Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
46,Kalemie,2022-09-07,Ituri,58,Or,,,None observed,None observed,,,,,,,,"Creuser, Lavage"
47,Confluent Wele - Aru,2022-08-23,Ituri,0,Or,,,No data,None observed,,,,,,,,
48,Kpangba I,2022-08-31,Ituri,87,Or,,,None observed,None observed,,,,,,,,"Creuser, Lavage, Transport des minerais"
49,Awu Central,2022-09-12,Ituri,35,Or,,,None observed,Observed,Autodéfense Zaïre,,,,,,,"Creuser, Lavage"
50,Uloo,2022-09-04,Ituri,0,Or,,,None observed,Observed,CODECO,,,,,,,
51,Anzumu,2022-09-05,Ituri,180,Or,,,None observed,Observed,CODECO,Autodéfense Zaïre,,,,,,"Creuser, Lavage, Transport des minerais"
52,Shaba,2022-08-28,Ituri,650,Or,,,Observed,Observed,FARDC,Autodéfense Zaïre,CODECO,,,,,"Creuser, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure, Ramasser les pierres à la surface pour ramener au broyage"
53,Yey,2022-09-11,Ituri,0,Or,,,No data,None observed,,,,,,,,
54,Apodo vieux sage,2022-09-10,Ituri,26,Or,,,None observed,None observed,,,,,,,,"Creuser, Lavage, Transport des minerais"
55,Aru chute,2022-09-11,Ituri,0,Or,,,No data,None observed,,,,,,,,
56,Mangala,2021-11-21,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
57,Lelemia,2021-11-21,Nord-Kivu,35,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
58,Gbado,2021-11-21,Nord-Kivu,18,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
59,Masikilizano,2021-11-20,Nord-Kivu,31,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
60,Lingitana,2021-11-23,Nord-Kivu,27,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
61,Kyatembo,2021-11-23,Nord-Kivu,35,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
62,Manzali,2021-11-20,Nord-Kivu,32,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
63,Byaboye,2021-11-19,Nord-Kivu,150,Or,,,Observed,None observed,,,,SAEMAPE,Division des mines,,,
64,Bank,2021-11-22,Nord-Kivu,40,Or,,,None observed,None observed,,,,Chefferie,Division des mines,,,
65,Bulongea,2021-11-22,Nord-Kivu,10,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
66,Kilonge,2021-11-25,Nord-Kivu,25,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
67,Eohe,2021-11-24,Nord-Kivu,75,Or,,,None observed,None observed,,,,SAEMAPE,Division des mines,,,
68,Mwamba/Centrale,2021-12-08,Nord-Kivu,45,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
69,Della,2021-12-08,Nord-Kivu,31,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
70,Baobah,2021-12-07,Nord-Kivu,11,Or,,,None observed,Observed,FARDC,,,SAEMAPE,,,,
71,Libération,2021-12-07,Nord-Kivu,0,Or,,,No data,None observed,,,,,,,,
72,Zangalo,2021-12-07,Nord-Kivu,50,Or,,,None observed,Observed,FARDC,,,SAEMAPE,,,,
73,Togo/Maroc,2021-12-09,Nord-Kivu,30,Or,,,None observed,Observed,FARDC,Maï-Maï Simba,,,,,,
74,Makumo/Akwele/Maboyi/Libye,2021-12-09,Nord-Kivu,80,Or,,,None observed,Observed,FARDC,Maï-Maï Simba,,,,,,
75,Mausi,2021-12-09,Nord-Kivu,13,Or,,,None observed,Observed,FARDC,Maï-Maï Simba,,,,,,
76,Lubumbashi,2021-12-09,Nord-Kivu,50,Or,,,None observed,Observed,FARDC,,,SAEMAPE,Division des mines,,,
77,Vatican/Kazana,2021-12-08,Nord-Kivu,32,Or,,,None observed,Observed,FARDC,,,SAEMAPE,,,,
78,Mabanga,2021-11-26,Nord-Kivu,25,Or,,,None observed,None observed,,,,,,,,
